epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7195,2.55453,72.1621,2.52876,0.00158,0.43182,0.05289,0.00621,3.51687,28.2807,3.84851,0.000658333,0.000658333,0.000658333
2,119.75,2.6838,39.2171,2.75351,0.00233,0.63636,0.02235,0.00386,2.8127,14.976,3.95932,0.00131953,0.00131953,0.00131953
3,168.248,2.96285,39.1607,2.75002,0.00083,0.22727,0.0007,0.00013,4.12928,16.3317,17.8972,0.00197524,0.00197524,0.00197524
4,216.639,2.90845,38.0576,2.90772,0.001,0.27273,0.00109,0.00018,4.10117,18.3188,4.88671,0.00197525,0.00197525,0.00197525
5,265.082,2.99428,26.4227,2.89371,0.00017,0.04545,0.0001,1e-05,4.75118,8.46897,4.56494,0.001967,0.001967,0.001967
6,313.873,3.00169,21.3326,2.9181,0.00142,0.38636,0.00105,0.00024,2.30323,7.48783,2.89476,0.00195875,0.00195875,0.00195875
7,361.996,nan,nan,nan,0,0,0,0,nan,nan,nan,0.0019505,0.0019505,0.0019505
8,410.059,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00194225,0.00194225,0.00194225
9,459.254,nan,nan,nan,0,0,0,0,nan,nan,nan,0.001934,0.001934,0.001934
10,507.506,3.19299,18.1843,2.99762,0,0,0,0,nan,nan,nan,0.00192575,0.00192575,0.00192575
11,556.555,3.14246,11.7373,2.89251,0,0,0,0,nan,nan,nan,0.0019175,0.0019175,0.0019175
12,606.236,2.94012,10.0097,2.79891,0,0,0,0,nan,nan,nan,0.00190925,0.00190925,0.00190925
13,655.311,3.02145,7.8591,2.94821,0,0,0,0,nan,nan,nan,0.001901,0.001901,0.001901
14,704.867,2.96827,6.81258,3.16941,0,0,0,0,nan,nan,nan,0.00189275,0.00189275,0.00189275
15,757.098,3.01614,7.11361,2.93742,0,0,0,0,nan,nan,nan,0.0018845,0.0018845,0.0018845
